id,user_id,movie_id,episode_id,progress_seconds,updated_at
043cb004-6677-4821-a68f-91b566d799e6,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1137,2026-02-14 05:39:56.025+00
09df24b0-9de0-4605-826e-a92eb1adaa78,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,886,2026-02-14 17:34:23.351+00
0a1e32e0-0bcd-4a73-b5fb-1e3c94b0df93,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1987,2026-02-14 06:12:14.304+00
0b4079f8-98bc-4937-8a6d-fcdb9dfd57c9,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1646,2026-02-14 05:45:37.285+00
0bf9c446-5e8d-41be-89f2-1fd045193c1a,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,2543,2026-02-14 06:54:38.556+00
0de9631e-752f-47c7-a85e-bc46f10ca94a,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,2051,2026-02-14 05:43:37.114+00
0e2ca0bd-5503-4230-8a8c-05a9cbc16f2b,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1521,2026-02-14 07:25:04.684+00
0ee51ad2-837b-46d2-ac61-661dd9c6c729,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,0,2026-02-14 05:55:48.28+00
10b243fb-0a67-4b0b-9a07-35faf8760920,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1646,2026-02-14 05:44:09.322+00
1697cffa-e68f-49fc-9700-d1876599cee3,9d85c904-b848-4a44-aad1-85620ad856ed,e9b9c3c0-110c-49a8-b2f9-016998eece72,,0,2026-02-14 03:59:21.073+00
1932f83e-da79-4243-9823-c02f5bd5f6c1,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,0,2026-02-14 17:32:21.902+00
1a279171-05f2-4002-9509-f966dc371a91,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1521,2026-02-14 07:25:07.146+00
1bc49387-b2f0-42fc-805e-866541ff7f97,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1156,2026-02-14 05:40:16.069+00
1c2dbffe-d72c-40b7-b0c1-f436b5bc260e,1e6805fa-2bfa-4d99-b125-397ea9e7214a,46e82b8b-8f32-48ff-ab47-be8df534e6a5,a5dde16d-5a88-42ae-82f5-aabe23ec1c42,0,2026-02-14 04:24:55.758+00
